Temperature (K)	Pressure (MPa)	Therm. Cond. (W/m*K)
307.869	29.475	0.07430
309.694	33.098	0.07815
308.929	33.097	0.07827
308.143	33.098	0.07833
307.480	33.098	0.07850
309.498	36.518	0.08199
308.688	36.519	0.08222
308.056	36.520	0.08215
307.447	36.521	0.08216
309.222	39.909	0.08588
308.550	39.909	0.08603
307.881	39.911	0.08621
307.206	39.914	0.08623
309.943	43.084	0.08913
309.132	43.083	0.08928
308.403	43.081	0.08918
307.807	43.079	0.08970
309.716	46.727	0.09303
309.019	46.727	0.09312
308.324	46.726	0.09305
307.749	46.725	0.09325
309.703	50.127	0.09630
308.899	50.126	0.09644
308.226	50.126	0.09638
307.650	50.126	0.09665
309.618	53.476	0.09950
308.897	53.476	0.09960
308.209	53.476	0.09974
307.616	53.475	0.09982
309.416	57.009	0.10283
308.753	57.009	0.10306
308.134	57.009	0.10301
307.513	57.008	0.10321
309.315	60.531	0.10601
308.655	60.530	0.10623
308.072	60.531	0.10653
307.537	60.531	0.10647
309.320	64.078	0.10919
308.648	64.078	0.10926
308.025	64.075	0.10942
307.462	64.077	0.10948
313.129	66.672	0.11038
312.494	66.678	0.11055
311.828	66.670	0.11076
311.372	66.685	0.11071
309.358	67.415	0.11215
308.758	67.414	0.11244
308.136	67.414	0.11259
307.614	67.416	0.11278
301.10	1.61	0.03585
300.98	2.10	0.03606
300.90	2.36	0.03635
300.89	3.06	0.03698
300.64	3.60	0.03729
300.54	4.08	0.03772
300.35	4.56	0.03822
300.30	5.04	0.03873
300.15	5.87	0.03967
300.05	6.58	0.04039
299.95	7.42	0.04157
299.85	8.11	0.04290
299.73	9.18	0.04400
299.61	10.18	0.04558
299.49	11.15	0.04704
299.40	12.13	0.04868
299.32	13.08	0.05026
299.16	14.12	0.05184
299.09	15.15	0.05368
299.05	15.72	0.05455
298.93	18.14	0.05883
298.88	19.60	0.06132
298.80	21.17	0.06353
298.78	22.81	0.06630
298.77	24.20	0.06831
298.73	25.48	0.07068
298.73	27.17	0.07269
298.65	28.64	0.07464
298.66	30.09	0.07669
298.65	31.41	0.07835
298.65	32.85	0.07991
298.65	33.90	0.08148
298.67	35.35	0.08276
307.48	1.84	0.03645
307.27	2.60	0.03701
307.16	3.31	0.03762
307.03	3.93	0.03809
306.96	4.49	0.03862
306.82	5.06	0.03922
306.73	5.79	0.03999
306.62	6.48	0.04078
306.58	7.12	0.04153
306.87	7.81	0.04271
306.73	8.36	0.04339
306.66	8.79	0.04399
306.52	9.27	0.04465
96.76	0.101325	0.010255
125.35	0.101325	0.013368
140.49	0.101325	0.015096
155.29	0.101325	0.016757
169.93	0.101325	0.018435
185.41	0.101325	0.020104
201.24	0.101325	0.021945
216.69	0.101325	0.023782
231.71	0.101325	0.025594
246.86	0.101325	0.027422
262.85	0.101325	0.029393
278.72	0.101325	0.031422
290.09	0.101325	0.033581
324.00	0.101325	0.037597
338.60	0.101325	0.039911
353.96	0.101325	0.042000
368.33	0.101325	0.044890
383.57	0.101325	0.047597
299.45	0.10	0.03474
299.45	1.07	0.03492
299.45	2.04	0.03599
299.45	3.00	0.03656
299.45	3.97	0.03768
299.45	4.94	0.03843
299.45	5.91	0.03986
299.45	6.88	0.04078
299.45	7.79	0.04232
299.45	7.84	0.04256
299.45	8.81	0.04335
299.45	9.78	0.04489
299.45	10.75	0.04630
299.45	11.71	0.04793
299.45	12.68	0.04995
299.45	13.65	0.05114
299.45	14.62	0.05290
299.45	15.54	0.05451
299.45	15.59	0.05465
275.18	0.101325	0.30480
276.18	0.101325	0.30619
277.17	0.101325	0.30853
279.17	0.101325	0.31079
281.18	0.101325	0.31372
283.18	0.101325	0.31372
275.05	0.101325	0.0314637
297.75	0.101325	0.0343506
316.75	0.101325	0.0370702
348.25	0.101325	0.0418818
277.594	0.101325	0.031219
310.928	0.101325	0.035235
377.594	0.101325	0.044628
410.928	0.101325	0.050505
444.261	0.101325	0.055717
299.8	0.101325	0.0337649
333	0.101325	0.0381623
375.5	0.101325	0.0445805
423.3	0.101325	0.0523711
472.3	0.101325	0.0604504
238.70	0.10	0.02608
231.80	0.10	0.02525
224.80	0.10	0.02445
216.40	0.10	0.02347
210.00	0.10	0.02271
183.20	0.10	0.01968
176.80	0.10	0.01901
165.30	0.10	0.01775
152.60	0.10	0.01639
140.30	0.10	0.01507
238.70	0.10	0.02608
238.80	0.20	0.02613
238.80	0.26	0.02616
238.50	0.69	0.02622
238.50	1.06	0.0268
238.80	2.09	0.02771
239.00	2.09	0.0279
238.80	3.04	0.02917
239.00	3.19	0.02912
238.80	4.02	0.03052
238.80	4.02	0.03048
239.00	4.33	0.03119
239.00	4.33	0.03073
238.80	5.04	0.03228
239.20	5.36	0.03299
239.20	6.49	0.03576
238.50	6.86	0.03718
238.30	8.53	0.0435
239.00	8.72	0.05045
238.50	10.01	0.05161
238.50	12.41	0.06205
238.50	12.41	0.06167
238.50	14.62	0.06778
238.50	14.81	0.06904
238.50	19.72	0.07913
238.50	19.72	0.07842
238.50	29.42	0.09399
238.80	29.53	0.09366
239.00	40.22	0.1066
239.00	50.13	0.1169
239.00	50.23	0.1172
231.80	0.10	0.02525
231.80	0.43	0.02539
231.80	1.08	0.026
231.60	2.07	0.02669
231.80	2.07	0.02677
231.80	3.04	0.02824
231.80	4.12	0.03045
231.60	5.20	0.03266
231.60	5.20	0.03257
231.80	5.99	0.03496
231.80	5.99	0.03529
231.80	6.58	0.03722
232.10	7.16	0.03982
231.80	7.16	0.0399
231.80	7.99	0.04513
231.80	7.99	0.04484
231.80	8.34	0.04961
231.80	8.84	0.05058
231.80	9.96	0.05732
231.80	9.96	0.05715
231.60	10.89	0.06155
231.60	10.89	0.06213
231.80	11.88	0.06464
231.80	11.88	0.06569
231.80	13.49	0.07046
231.80	15.30	0.0744
231.60	19.72	0.08369
231.60	19.72	0.08344
231.80	23.79	0.09039
231.60	29.53	0.09856
224.80	0.10	0.02445
224.80	0.30	0.02462
224.90	0.30	0.02448
224.80	0.61	0.0248
225.00	0.69	0.02477
224.90	1.06	0.025
224.80	1.08	0.02521
224.10	2.11	0.02626
224.10	2.11	0.02639
224.60	3.04	0.02777
224.80	3.04	0.02783
224.80	4.00	0.0302
224.90	4.02	0.03017
224.60	4.74	0.03218
224.80	5.01	0.0327
224.80	5.01	0.03262
224.80	5.01	0.03282
224.90	6.02	0.03714
224.90	6.02	0.03668
224.9	6.86	0.0425
224.8	6.97	0.04308
225.4	7.75	0.05367
225.6	7.85	0.05414
224.8	8.83	0.06163
224.1	9.91	0.06657
224.8	9.91	0.06582
223.8	11.43	0.07189
223.8	11.43	0.07051
223.3	12.36	0.07327
223.3	12.36	0.07272
224.1	14.71	0.07884
223.3	14.81	0.07909
224.8	16.38	0.08215
224.1	20.2	0.08972
224.1	20.2	0.08939
224.1	25.21	0.09684
224.4	29.53	0.1025
223.4	38.94	0.1138
224.9	39.14	0.1127
223.4	48.36	0.123
223.4	48.66	0.1229
223.4	48.85	0.1237
216.4	0.1	0.02347
216.3	0.42	0.02361
216.1	1.09	0.02414
216.1	1.97	0.0253
216.1	3.06	0.02752
216.3	4.07	0.03041
216.3	5.01	0.03397
216.3	5.5	0.03743
216.3	5.5	0.03751
216.1	6.18	0.044
216.3	6.58	0.051
216.3	6.58	0.05007
216.6	6.97	0.0574
216.6	6.97	0.05799
216.3	7.16	0.06016
216.3	7.16	0.05941
216.3	7.46	0.06368
216.3	7.94	0.06678
216.3	7.99	0.06728
216.3	8.93	0.07126
216.6	11.28	0.07767
216.6	12.85	0.08127
216.6	15.79	0.08805
216.6	19.52	0.09416
216.6	19.72	0.0937
216.3	25.41	0.1025
210	0.1	0.02271
209.8	1.1	0.02336
208.4	1.41	0.02363
209.3	1.77	0.02413
210.3	2.08	0.02465
209.8	2.41	0.02552
209.8	2.41	0.02527
207.5	2.91	0.02665
210.3	3.07	0.02727
210.3	3.07	0.02714
209	3.54	0.0291
209	3.54	0.02848
210.3	3.95	0.03102
210.3	3.95	0.03086
207.5	4.3	0.03295
207.5	4.3	0.03274
210.1	5.01	0.03864
210.1	5.01	0.03898
210.6	5.24	0.04296
210.6	5.24	0.04262
210.1	5.48	0.04919
210.1	5.48	0.05066
210.1	5.48	0.04907
209.5	5.72	0.05598
210.1	5.99	0.06376
209.6	6	0.06816
210.1	6.1	0.06958
210.1	6.1	0.0708
210.1	6.2	0.07235
210.1	6.2	0.07545
209.8	6.94	0.0775
209.8	6.94	0.07821
206.6	7.32	0.07285
209.6	7.32	0.0736
209.6	7.32	0.0731
209.5	7.35	0.07235
209.6	7.35	0.07105
209.6	7.66	0.07239
210.7	8.24	0.07402
210.8	8.24	0.0749
210.8	9.91	0.07892
210.1	12.46	0.08386
209.8	14.71	0.08918
210.3	14.92	0.09002
209.8	16.78	0.09391
209.8	16.78	0.09303
210	19.72	0.09814
210	30.5	0.1125
210	31.2	0.1135
209.6	39.73	0.1225
209.6	39.73	0.1228
209.6	48.95	0.1311
209.6	48.95	0.1318
209.6	50.52	0.1334
195.9	2.19	0.02553
195.9	2.19	0.02523
195.6	2.19	0.02513
195.9	3.14	0.02835
195.4	3.14	0.02852
195.6	3.14	0.02792
195.6	4.13	0.03323
195.4	4.13	0.03253
195.9	4.15	0.03459
194.9	4.15	0.0339
195.4	4.18	0.03423
195.6	4.18	0.03379
195.3	4.51	0.04127
195.9	4.66	0.04371
195.9	4.81	0.05409
194.9	4.81	0.05434
195.5	4.92	0.06251
195.9	4.93	0.06854
194.9	4.93	0.06737
194.9	4.93	0.06783
195.9	5.04	0.0803
195.6	5.04	0.0842
195.9	5.05	0.08487
195.9	5.06	0.08625
195.9	5.07	0.0914
195.9	5.08	0.09789
194.9	5.09	0.1128
195.9	5.1	0.1146
194.9	5.1	0.1238
194.9	5.11	0.143
194.9	5.11	0.147
194.9	5.11	0.1439
194.9	5.12	0.1498
194.9	5.12	0.1487
194.9	5.16	0.1631
194.9	5.16	0.174
194.9	5.16	0.1681
194.9	5.16	0.1716
194.9	5.16	0.1653
194.9	5.17	0.1711
194.9	5.26	0.1565
194.9	5.28	0.1533
194.9	5.28	0.1514
194.9	5.28	0.1487
194.9	5.35	0.1243
194.9	5.35	0.1258
194.9	5.35	0.1231
194.9	5.4	0.1173
194.9	5.47	0.09579
194.9	5.48	0.09889
194.9	5.5	0.1023
194.9	5.5	0.09944
194.9	5.5	0.1014
194.9	5.5	0.1002
194.9	5.5	0.1009
194.9	5.51	0.1008
194.9	5.52	0.09579
194.9	5.52	0.09542
194.9	5.52	0.09596
194.9	5.62	0.08897
194.9	5.62	0.08956
194.9	5.62	0.09864
194.9	6.09	0.08353
194.9	6.09	0.08378
195.4	7.05	0.08487
195.4	7.05	0.0842
195.9	7.06	0.08642
194.9	7.09	0.08457
194.9	7.1	0.08579
194.9	7.1	0.08596
195.9	8.15	0.08771
195.4	8.15	0.087
195.9	9.13	0.09002
195.4	9.13	0.08771
195.4	9.13	0.08847
195.9	10.01	0.0914
195.4	10.1	0.09081
194.9	10.1	0.09257
195.9	12.41	0.0963
195.4	12.41	0.09491
195.9	12.46	0.09588
195.6	12.46	0.09491
195.6	14.81	0.1023
195.4	14.81	0.1034
195.4	14.81	0.1014
195.9	19.37	0.1113
195.4	19.37	0.1099
195.4	22.66	0.1135
194.5	22.66	0.1147
195.9	22.66	0.1162
188.4	2	0.02314
188.4	2	0.02255
188.6	3.04	0.02587
188.9	3.04	0.02541
188.6	3.74	0.03635
188.9	3.74	0.03513
188.9	4.18	0.07088
188.9	4.2	0.07691
188.6	4.26	0.08717
188.6	4.28	0.09487
188.6	4.28	0.09512
188.6	4.28	0.09345
188.6	4.29	0.1007
188.6	4.32	0.1064
188.6	4.55	0.0911
188.6	4.56	0.0937
188.6	4.57	0.09898
188.6	5.99	0.09412
188.4	5.99	0.09324
188.4	5.99	0.09458
188.4	5.99	0.09395
188.4	7.94	0.09479
188.4	7.94	0.09462
188.2	10.1	0.09743
188.2	10.1	0.09713
188.2	10.1	0.09814
187.9	11.08	0.1003
187.9	11.08	0.09906
188.6	14.92	0.106
188.6	14.92	0.104
188.6	19.53	0.1136
188.6	19.53	0.1118
188.9	19.62	0.1126
188.9	19.62	0.1113
187.9	20.7	0.1155
187.9	20.89	0.1145
187.9	20.89	0.1138
188.4	29.63	0.1275
188.4	29.73	0.1267
188.4	29.73	0.1275
188.2	39.33	0.1382
188.2	39.54	0.138
187.9	47.19	0.1474
187.9	47.19	0.1455
187.9	49.14	0.1491
183.2	0.1	0.01968
183.2	0.26	0.01968
183.7	0.26	0.01995
182.9	1.57	0.02177
183.2	1.57	0.02165
183.2	2.58	0.02575
183.2	2.58	0.02546
183.2	3.07	0.02863
182.9	3.69	0.08747
182.9	3.69	0.08856
182.9	7.46	0.09666
183.2	7.46	0.09862
183.5	10.01	0.1051
183.5	10.01	0.1023
183.5	14.92	0.1125
183.5	14.92	0.1118
183.7	19.72	0.1189
183.7	19.72	0.1201
183.5	29.53	0.1317
183.5	29.53	0.1333
183.5	39.73	0.1427
183.2	49.14	0.1527
183.2	49.14	0.1515
176.8	0.1	0.01901
177	0.3	0.01932
177	0.3	0.01922
175.7	0.91	0.02023
176.8	1.67	0.02258
176.5	2.61	0.02853
176.5	2.61	0.02824
176.4	3.83	0.1004
176.4	3.83	0.0994
176.7	5.01	0.1026
176.7	5.01	0.102
177	6.24	0.1054
177.5	7.95	0.1089
176.7	7.95	0.108
177	10.06	0.1126
177.5	11.68	0.1164
177.5	11.68	0.1153
176.5	19.72	0.1273
176.5	19.72	0.129
176.5	29.53	0.1406
176.7	39.19	0.1501
176.7	39.19	0.1491
177	48.8	0.158
177	48.8	0.159
165.3	0.1	0.01775
166	0.75	0.01848
164.2	1.54	0.02288
164.2	1.54	0.02265
165	3.59	0.1247
165.5	3.59	0.125
164.2	5.2	0.1261
165	5.4	0.1268
165.3	7.95	0.1313
164.7	9.71	0.1342
166	14.81	0.1417
164.7	20.36	0.1474
164.7	20.36	0.1485
166.2	29.33	0.1572
164.7	29.53	0.1572
164.2	39.14	0.1673
164.2	49.14	0.1753
164.2	49.14	0.1757
152.6	0.1	0.01639
151.5	0.36	0.01693
151.5	0.36	0.01758
152.7	1.6	0.1447
152.7	3.07	0.1482
152.2	7.36	0.1535
152.2	7.36	0.1567
152.7	9.91	0.1569
151.8	10.6	0.1586
152.9	14.81	0.1641
153.2	14.81	0.164
152.7	19.72	0.1711
152.9	29.13	0.1806
152.7	29.33	0.1782
152.9	39.14	0.185
152.9	39.14	0.1879
152.7	39.24	0.1848
152.7	49.14	0.1943
140.3	0.1	0.01507
140.3	0.3	0.01626
140	0.3	0.01636
141	1.47	0.1681
141	3.36	0.1701
141	3.36	0.1705
141	5.1	0.1729
140.8	5.99	0.1735
139.9	7.94	0.1774
139.3	7.94	0.174
139.5	9.32	0.1774
139.5	12.07	0.1808
139.5	14.81	0.1832
140.3	19.62	0.1884
140	19.72	0.1871
140	29.72	0.1967
140	39.73	0.2012
140	49.14	0.2104
118.8	0.1	0.01271
117.8	0.46	0.1968
119	6.97	0.201
119.7	11.48	0.2003
119.7	11.48	0.2054
119.5	14.92	0.2068
118	19.72	0.2118
117.6	29.53	0.2172
117.6	39.24	0.2234
119.9	39.43	0.2234
119.9	48.75	0.2291
119.9	48.95	0.2265
108.9	2.95	0.2088
108.9	2.95	0.2098
109.4	4.7	0.209
109.4	4.7	0.2112
109.2	9.81	0.2135
109.9	14.81	0.2153
109.9	14.81	0.2168
109.2	19.72	0.2203
109.2	19.72	0.22
109.4	29.53	0.2256
109.4	38.94	0.23
109.4	39.14	0.23
109.4	49.73	0.2378
109.4	49.93	0.235
307.350	0.101325	0.0356
298.650	0.101325	0.0345
368.850	0.101325	0.0451
407.950	0.101325	0.0514
420.250	0.101325	0.0539
465.550	0.101325	0.0623
523.350	0.101325	0.0732
571.850	0.101325	0.0828
575.750	0.101325	0.0846
621.450	0.101325	0.094
307.350	0.10	0.0356
298.650	0.14	0.0345
304.450	1.00	0.0358
298.550	1.00	0.035
303.850	4.40	0.0388
298.450	5.00	0.0384
306.350	5.80	0.0407
302.850	7.30	0.0419
298.850	10.10	0.0455
304.750	10.50	0.0468
301.450	10.50	0.0463
304.150	13.70	0.0513
299.350	14.70	0.0532
303.450	16.30	0.0557
302.750	18.50	0.0593
298.750	20.40	0.0626
302.050	21.60	0.0643
303.250	22.30	0.0654
302.750	26.90	0.0716
298.450	30.60	0.077
302.550	32.30	0.0787
302.350	38.60	0.0863
298.650	40.70	0.089
302.350	45.40	0.0938
298.750	50.90	0.0997
302.250	51.40	0.0999
302.050	58.20	0.1066
298.650	60.90	0.1088
301.750	69.00	0.1159
298.650	71.50	0.1184
301.650	78.50	0.1232
298.650	82.10	0.1268
301.450	87.00	0.1295
298.550	93.90	0.1344
301.250	95.90	0.1364
298.450	101.70	0.1411
301.150	103.60	0.1419
301.150	106.90	0.1435
301.350	116.20	0.1506
368.850	0.10	0.0451
368.750	1.10	0.0456
368.750	4.80	0.0475
369.050	10.20	0.052
369.250	20.60	0.0619
368.850	31.00	0.072
368.650	41.80	0.0819
368.550	51.40	0.09
368.750	60.90	0.0972
368.750	71.60	0.1051
368.750	81.50	0.112
368.550	92.10	0.1192
368.350	102.30	0.1252
407.950	0.10	0.0514
407.650	3.30	0.053
406.850	10.50	0.058
406.250	17.60	0.0633
405.850	24.30	0.0687
405.650	30.80	0.074
406.650	38.50	0.0807
406.150	45.40	0.086
405.650	52.50	0.0913
405.150	59.50	0.0963
404.350	67.20	0.1018
403.750	77.30	0.1082
402.850	83.30	0.112
404.250	95.90	0.1195
404.250	104.50	0.1243
404.350	114.70	0.1302
420.250	0.14	0.0539
420.250	1.00	0.0544
420.450	5.00	0.0563
420.550	10.20	0.0596
420.450	20.60	0.0671
420.350	31.00	0.0751
420.250	40.80	0.0825
420.250	51.30	0.09
420.250	60.90	0.0966
420.150	71.40	0.104
420.050	81.60	0.11
419.950	92.10	0.1165
419.850	101.70	0.1214
465.550	0.14	0.0623
465.550	1.00	0.0628
465.550	5.00	0.0642
466.050	10.20	0.067
465.850	20.80	0.0732
465.650	30.80	0.0796
465.550	40.80	0.0861
465.450	51.10	0.0923
465.350	60.80	0.0982
465.250	71.00	0.1042
465.150	81.70	0.1102
465.150	92.20	0.1161
464.950	102.50	0.1213
483.250	0.55	0.0652
486.850	1.20	0.0664
483.150	3.40	0.0666
486.550	6.80	0.0691
482.850	7.30	0.0686
482.650	11.80	0.0708
487.050	15.10	0.0735
486.650	21.60	0.0772
485.250	28.40	0.0811
484.850	35.90	0.0856
484.550	42.70	0.0898
484.350	54.10	0.0963
484.350	55.10	0.0968
484.050	65.70	0.1025
483.950	70.60	0.1052
483.950	72.60	0.1063
483.750	75.50	0.1078
483.650	79.40	0.1099
483.550	84.30	0.1125
483.550	87.30	0.1142
483.450	95.10	0.1183
483.450	104.90	0.1229
483.450	109.80	0.1251
483.650	112.80	0.1254
523.350	0.14	0.0732
523.350	1.00	0.0737
523.250	5.00	0.0747
523.250	10.40	0.0768
523.150	20.40	0.0816
523.050	30.70	0.087
522.950	40.80	0.0922
522.850	50.90	0.0977
522.650	60.70	0.1029
522.650	71.40	0.1083
522.550	82.40	0.114
522.450	94.90	0.1202
571.850	0.10	0.0828
571.650	5.30	0.0853
571.450	10.50	0.0873
571.350	20.70	0.0916
571.150	30.30	0.0959
570.850	40.50	0.1006
570.850	50.90	0.1054
570.650	60.50	0.1098
570.550	72.60	0.1152
570.450	83.70	0.12
570.350	95.40	0.1252
570.250	107.90	0.1304
570.150	117.40	0.1343
570.050	124.70	0.1375
575.750	0.10	0.0846
575.750	1.00	0.0852
575.750	5.10	0.0861
575.350	10.10	0.0874
575.650	20.50	0.0918
575.550	30.60	0.0962
575.450	40.80	0.1007
575.350	50.70	0.1055
575.350	60.60	0.1103
575.250	69.20	0.1142
575.250	80.60	0.1191
575.150	91.60	0.1238
575.050	103.50	0.129
621.450	0.14	0.094
621.450	1.00	0.0945
621.450	5.00	0.0954
621.450	10.20	0.0968
621.250	20.30	0.1002
621.250	30.50	0.104
621.150	40.50	0.1084
621.050	50.70	0.1123
620.950	60.90	0.1167
620.950	68.40	0.1199
620.950	81.40	0.1254
620.950	92.10	0.1294
620.750	102.20	0.1331
648.650	0.50	0.0987
648.550	3.40	0.1005
648.450	7.00	0.1018
648.450	11.20	0.1031
648.250	21.10	0.1062
648.150	30.50	0.1097
647.950	40.70	0.1134
647.950	50.30	0.1173
647.850	59.40	0.1206
647.750	71.60	0.1251
647.650	83.20	0.1293
647.650	95.10	0.1343
647.750	117.10	0.1415
647.850	119.40	0.1423
648.050	121.10	0.1425
726.550	1.00	0.1145
726.450	3.60	0.1153
725.150	40.10	0.1261
725.050	50.70	0.1289
725.150	60.80	0.1313
725.250	72.00	0.1348
725.450	81.00	0.1379
725.750	89.00	0.1417
323.35	0.101325	0.0377
319.95	0.101325	0.0375
316.75	0.101325	0.0373
312.85	0.101325	0.0367
309.35	0.101325	0.0363
308.25	0.101325	0.0357
303.15	0.101325	0.0351
297.75	0.101325	0.0344
303.15	0.101325	0.0351
309.85	0.101325	0.0366
316.75	0.101325	0.0372
317.75	0.101325	0.0372
323.45	0.101325	0.0377
323.35	0.10	0.0377
319.95	0.10	0.0375
316.75	0.10	0.0373
312.85	0.10	0.0367
309.35	0.10	0.0363
308.25	0.10	0.0357
303.15	0.10	0.0351
297.75	0.10	0.0344
297.75	2.55	0.0363
297.75	5.10	0.0389
297.75	7.50	0.0424
303.15	0.10	0.0351
303.15	5.30	0.0399
303.25	10.01	0.0463
303.25	14.73	0.0553
309.85	0.10	0.0366
312.95	5.07	0.0411
312.85	9.88	0.0466
316.75	0.10	0.0372
316.75	2.58	0.039
316.75	7.60	0.0443
316.85	9.93	0.0471
316.65	12.31	0.0501
316.75	17.36	0.0579
317.75	0.10	0.0372
317.75	5.15	0.0416
317.75	10.00	0.0472
317.75	14.82	0.0538
317.75	19.71	0.0612
323.45	0.10	0.0377
323.45	9.96	0.0477
323.45	14.80	0.0541
298.15	0.101325	0.0339
323.15	0.101325	0.0374
348.15	0.101325	0.0414
98.9	39.82	0.28736
98.93	30.44	0.26761
98.99	20.31	0.22548
99.01	10.13	0.21652
99.02	5.12	0.21171
99.02	2.56	0.20916
99.03	0.16	0.2069
125.47	50.67	0.21899
125.49	40.68	0.21012
125.55	30.41	0.20033
125.53	20.41	0.18991
125.54	10.15	0.17824
125.61	5.08	0.17138
125.62	2.43	0.16803
150.23	50.74	0.19238
150.25	40.54	0.18284
150.28	30.44	0.17167
150.28	20.48	0.15954
150.28	10.13	0.1456
150.29	5.04	0.1374
150.3	2.62	0.13288
175.13	50.67	0.16652
175.14	40.58	0.15619
175.17	30.41	0.14443
175.15	20.41	0.13092
175.16	10.13	0.11406
175.15	5.13	0.10276
200.2	50.67	0.14531
200.2	40.41	0.13422
200.21	30.41	0.12205
200.22	20.28	0.10686
200.18	13.01	0.0928
200.18	10.17	0.08573
200.18	7.63	0.07828
200.1	5.11	0.04192
200.08	2.48	0.001813
200.08	0.28	0.000174
235.01	50.74	0.020786
235	40.54	0.019681
235	30.68	0.018228
234.99	20.28	0.015717
235	13.06	0.011882
234.98	10.1	0.008769
234.96	5.07	0.003294
234.95	2.49	0.001419
110.868	0.204	0.1846
111.002	1.1	0.18559
110.971	2.236	0.187
111.202	3.27	0.18806
111.024	4.269	0.18903
110.897	5.269	0.1901
111.038	6.337	0.19104
110.718	7.404	0.19255
110.952	8.645	0.19409
124.806	0.721	0.16441
124.985	1.755	0.1662
125.059	2.719	0.16739
125.034	3.822	0.16897
124.867	4.924	0.17041
125.196	5.957	0.17213
124.728	7.06	0.17344
124.784	8.369	0.1751
155.48	1.514	0.12211
155.251	2.306	0.12285
154.953	2.891	0.12547
155.192	3.374	0.12594
154.969	4.132	0.12752
155.034	4.924	0.12908
155.285	5.648	0.13018
154.726	6.302	0.13109
154.995	7.129	0.13264
154.598	7.887	0.13403
155.167	8.576	0.13551
180.336	3.753	0.08969
180.509	4.132	0.09115
180.132	4.58	0.09303
180.172	5.027	0.09396
180.255	5.578	0.09512
180.139	6.095	0.09701
180.058	6.784	0.09901
179.989	7.335	0.10049
179.905	8.231	0.10261
139.92	59.998	0.20488
140.07	59.998	0.2047
139.95	50.001	0.19645
139.97	50.001	0.19583
140.00	40.004	0.1873
140.01	40.004	0.18737
140.09	30.006	0.17687
140.00	30.006	0.1776
120.08	10.004	0.17956
120.01	10.004	0.17965
120.08	10.004	0.17974
119.90	20.002	0.19016
119.89	20.002	0.1908
120.04	29.999	0.19996
119.91	29.999	0.20032
119.94	40.004	0.20887
119.86	40.004	0.20933
121.01	50.001	0.21299
139.90	20.002	0.16686
139.93	20.002	0.16632
139.89	10.004	0.15405
139.89	10.004	0.1542
139.89	10.004	0.15385
139.92	4.999	0.14709
139.90	4.999	0.14719
139.95	2.496	0.14324
139.95	2.496	0.14339
159.93	2.496	0.11533
159.94	2.496	0.11508
159.90	20.002	0.14377
159.89	20.002	0.14374
159.96	29.999	0.15617
159.98	29.999	0.15582
159.98	10.004	0.12931
159.98	10.004	0.12916
159.98	4.999	0.12029
160.01	4.999	0.11994
160.04	2.496	0.11518
160.00	2.496	0.11493
160.00	40.004	0.16674
160.00	40.004	0.16664
160.00	49.994	0.17681
159.95	49.994	0.17698
159.98	59.998	0.18553
159.97	59.998	0.1858
160.05	69.996	0.1936
159.94	69.996	0.19417
179.96	69.996	0.17698
180.00	69.996	0.17706
179.91	59.998	0.16828
179.96	50.001	0.15837
179.92	40.004	0.14817
179.95	29.999	0.13653
180.00	20.002	0.12291
179.98	20.002	0.12279
179.98	9.997	0.106
179.98	9.997	0.10583
179.98	4.999	0.09392
179.99	4.999	0.09416
199.99	69.996	0.16118
200.01	59.998	0.15239
200.01	59.998	0.15244
200.01	50.001	0.14254
200.00	40.004	0.13159
199.99	29.999	0.11976
199.99	20.002	0.10491
200.00	10.004	0.08495
199.99	10.004	0.08465
199.99	4.999	0.04015
220.02	69.996	0.14779
220.00	69.996	0.14789
220.05	59.998	0.13911
220.01	50.001	0.12897
220.05	40.004	0.11807
220.11	29.999	0.10542
220.00	20.002	0.08967
220.03	9.997	0.06615
240.02	69.996	0.13742
240.06	59.998	0.12856
240.00	50.001	0.1183
240.00	40.004	0.10696
240.00	29.999	0.09438
240.06	20.002	0.07835
260.03	69.996	0.12814
260.00	59.998	0.1192
260.00	50.001	0.10925
260.03	40.004	0.09859
260.05	30.006	0.0862
300.18	69.996	0.11495
299.33	69.996	0.11572
300.07	69.996	0.11475
300.08	69.996	0.11455
300.00	59.998	0.106
300.01	59.998	0.10639
300.00	49.994	0.09709
300.03	49.994	0.09722
300.03	40.004	0.08659
300.05	40.004	0.08664
299.97	29.999	0.07499
299.97	29.999	0.07509
299.96	20.002	0.06081
300.04	20.002	0.06101
300.00	9.997	0.04304
299.93	9.997	0.04314
300.24	4.999	0.03513
299.66	4.999	0.03533
299.87	4.999	0.03573
300.00	4.999	0.03581
320.02	69.996	0.11032
320.07	69.996	0.11047
320.00	59.998	0.10151
319.95	59.998	0.10196
319.95	50.001	0.0928
319.94	50.001	0.0926
319.98	40.004	0.08305
319.98	40.004	0.0829
319.96	29.999	0.07275
319.98	29.999	0.07186
320.06	20.002	0.05919
320.04	20.002	0.05919
319.98	10.004	0.04492
320.00	10.004	0.04479
339.80	69.996	0.1066
339.96	10.004	0.04718
339.98	10.004	0.04767
340.00	10.004	0.04767
340.05	69.996	0.10605
340.02	69.996	0.10566
340.00	59.998	0.09853
340.02	59.998	0.09839
339.98	50.001	0.09013
339.96	40.004	0.08133
339.95	29.999	0.07126
340.23	20.002	0.05867
400.15	69.996	0.10224
400.07	59.998	0.09535
399.99	50.001	0.08789
399.95	40.004	0.07947
